order_id,order_time,distance_km,order_items,weather,traffic,rider_queue,prep_time_min,delivery_time_min
1,2025-01-09 08:39:00,4.06,3,Clear,5,0,8,22.3
2,2025-01-26 04:43:00,9.53,8,Clear,1,0,24,53.4
3,2025-03-19 02:29:00,7.45,7,Clear,2,4,13,45.8
4,2025-01-24 21:20:00,6.19,3,Rain,2,3,10,43.7
5,2025-03-10 11:27:00,1.98,6,Clear,0,1,7,12.0
6,2025-03-08 09:32:00,1.98,4,Clear,4,4,26,46.0
7,2025-01-13 02:01:00,1.05,5,Clear,4,1,6,16.8
8,2025-02-16 00:18:00,8.73,5,Cloudy,0,1,22,48.0
9,2025-02-03 14:05:00,6.21,7,Clear,1,1,27,46.5
10,2025-03-10 09:18:00,7.23,5,Rain,2,2,23,59.4
11,2025-01-27 11:41:00,0.7,3,Storm,5,4,11,28.5
12,2025-03-18 01:44:00,9.71,5,Rain,3,2,7,51.1
13,2025-02-11 13:49:00,8.41,7,Cloudy,1,3,22,57.1
14,2025-01-19 13:17:00,2.52,5,Clear,4,3,24,42.9
15,2025-03-05 06:05:00,2.23,5,Clear,0,0,24,30.8
16,2025-02-10 08:19:00,2.24,9,Clear,2,0,23,36.2
17,2025-01-19 19:00:00,3.39,3,Rain,0,0,13,26.1
18,2025-03-08 16:26:00,5.49,6,Clear,4,3,20,46.7
19,2025-02-19 20:30:00,4.6,1,Clear,0,1,10,24.3
20,2025-02-21 05:15:00,3.27,5,Rain,5,1,25,52.8
21,2025-02-15 19:50:00,6.31,8,Rain,2,4,16,54.8
22,2025-01-23 18:10:00,1.83,5,Clear,0,3,10,17.3
23,2025-01-13 10:59:00,3.28,9,Rain,2,0,17,37.9
24,2025-01-03 11:56:00,3.98,6,Rain,0,3,28,53.4
25,2025-02-28 15:37:00,4.83,8,Clear,0,1,9,30.2
26,2025-01-04 12:37:00,7.96,8,Clear,2,1,17,47.0
27,2025-02-28 08:31:00,2.4,3,Storm,5,2,24,47.6
28,2025-03-25 15:53:00,5.39,7,Rain,0,2,11,39.6
29,2025-03-04 14:29:00,6.13,7,Clear,5,4,16,52.0
30,2025-03-26 03:05:00,0.94,6,Clear,1,3,25,42.1
31,2025-03-28 02:09:00,6.27,7,Rain,3,2,8,43.2
32,2025-03-14 04:04:00,2.12,2,Cloudy,1,2,9,21.3
33,2025-03-01 20:59:00,1.12,9,Rain,3,3,20,35.3
34,2025-01-11 23:05:00,9.51,1,Clear,1,1,8,38.3
35,2025-01-03 04:57:00,9.67,1,Clear,3,4,12,49.2
36,2025-01-06 17:52:00,8.18,3,Fog,0,4,20,56.9
37,2025-01-04 13:13:00,3.39,3,Clear,2,4,12,35.9
38,2025-03-20 10:39:00,1.43,1,Cloudy,2,2,21,32.3
39,2025-01-23 13:21:00,7.0,7,Cloudy,4,1,18,50.1
40,2025-03-20 03:37:00,4.68,4,Clear,3,4,16,43.6
41,2025-01-10 03:01:00,1.66,2,Cloudy,4,3,7,22.8
42,2025-01-14 02:32:00,5.2,5,Clear,5,4,24,55.4
43,2025-02-11 12:01:00,0.83,6,Fog,5,0,6,22.4
44,2025-02-28 23:42:00,9.14,9,Clear,4,1,17,52.8
45,2025-03-03 01:33:00,2.96,4,Clear,3,0,25,38.8
46,2025-02-09 21:13:00,6.79,2,Rain,2,1,15,43.1
47,2025-03-16 14:14:00,3.46,5,Storm,3,3,28,52.6
48,2025-02-22 02:57:00,5.44,3,Clear,5,2,16,50.6
